9	profile	default	en-US	What would you want to do on a first date?
9	profile	default	zh-CN	可以接受的约会有哪些？
9	profile	default	ko-KR	첫 데이트에서 무엇을 함께 해보고 싶나요?
9	profile	default	ja-JP	どんな感じなデートが好みですか？
9	profile	default	zh-TW	可以接受的約會有哪些？
9	profile	default	th-TH	เธอชอบการเดทแบบไหน?
1	profile	default	en-US	What would you do if money weren't an issue?
1	profile	default	zh-CN	如果有钱有时间，最想去做什么？
1	profile	default	ko-KR	돈 걱정을 하지 않아도 된다면 가장 해 보고 싶은 일은 무엇인가요?
1	profile	default	ja-JP	もし金と時間があれば、一番やりたいことは何ですか?
1	profile	default	zh-TW	如果有錢有時間，最想去做什麼？
1	profile	default	th-TH	หากมีเวลาและเงินไม่จำกัด คุณอยากทำอะไรบ้าง ?
2	profile	default	en-US	Which city would you like to live in?
2	profile	default	zh-CN	最想去哪个城市生活？
2	profile	default	ko-KR	어떤 도시에 살고 싶으세요?
2	profile	default	ja-JP	一番暮らしたいとこらはどこですか?
2	profile	default	zh-TW	最想去哪個城市生活？
2	profile	default	th-TH	เธออยากใช้ชีวิตอยู่ที่เมืองไหน?
3	profile	default	en-US	What's your all time favourite song?
3	profile	default	zh-CN	有没有一首歌，喜欢了很多年？
3	profile	default	ko-KR	가장 좋아하는 노래가 무엇인가요?
3	profile	default	ja-JP	一番好きな曲は何ですか?
3	profile	default	zh-TW	有沒有一首歌，喜歡了很多年？
3	profile	default	th-TH	เพลงไหนที่เธอฟังมาหลายปี?
4	profile	default	en-US	What kind of person you are most attracted to?
4	profile	default	zh-CN	什么样的异性最让你心动？
4	profile	default	ko-KR	어떤 유형의 사람에게 가장 매력을 느끼나요?
4	profile	default	ja-JP	どんなタイプが一番好きですか?
4	profile	default	zh-TW	什麼樣的異性最讓你心動？
4	profile	default	th-TH	เพศตรงข้ามในฝันของเธอเป็นแบบไหน?
5	profile	default	en-US	Which recent TV series do you recommend?
5	profile	default	zh-CN	最近在追的剧是什么？
5	profile	default	ko-KR	어떤 드라마를 추천하고 싶나요?
5	profile	default	ja-JP	最近見ているドラマは何ですか?
5	profile	default	zh-TW	最近在追的劇是什麼？
5	profile	default	th-TH	เธอกำลังตามละครเรื่องไหนอยู่?
6	profile	default	en-US	What's your happiest moment of this year so far?
6	profile	default	zh-CN	今年最开心的一件事是什么？
6	profile	default	ko-KR	올 해 가장 행복했던 순간이 언제였나요?
6	profile	default	ja-JP	今年、最も楽しいことは何ですか?
6	profile	default	zh-TW	今年最開心的一件事是什麼？
6	profile	default	th-TH	เรื่องที่ดีใจที่สุดในปีนี้?
7	profile	default	en-US	If you had a super power, which one would you want it to be?
7	profile	default	zh-CN	如果能拥有一种超能力，要什么？
7	profile	default	ko-KR	어떤 초능력을 갖고 싶나요?
7	profile	default	ja-JP	もし一つの超能力が持てるなら、何にするですか?
7	profile	default	zh-TW	如果能擁有一種超能力，要什麼？
7	profile	default	th-TH	ถ้าให้เลือกพลังพิเศษอย่างหนึ่ง เธอจะเลือกอะไร?
8	profile	default	en-US	What would you do if you pissed your girlfriend/boyfriend off?
8	profile	default	zh-CN	如果女朋友/男朋友生气了，怎么哄？
8	profile	default	ko-KR	애인이 화가 났을 때 어떻게 대처할 건가요?
8	profile	default	ja-JP	もし彼女/彼氏が怒ったら、どうやって慰めるですか？
8	profile	default	zh-TW	如果女朋友/男朋友生氣了，怎麼哄？
8	profile	default	th-TH	ถ้าแฟนโกรธจะง้ออย่างไร?
